talk_id,speaker_occupation
346,bioengineer
347,writer
348,entrepreneur
349,automotive researcher
350,inventor
351,folk musician
352,designer
353,bee expert
354,entrepreneur
355,psychologist
355,happiness expert
356,author
357,cave scientist
358,mathematician
359,tech visionary
360,reporter
361,biochemist
362,artist
363,paleontologist
364,inventor
365,designer
366,designer
367,cartoonist
368,baker
369,writer
370,designer at play
371,type designer
372,world-builder
373,entrepreneur
374,doctor
375,inventor
376,paleontologist
377,athlete
377,actor
378,biochemist
379,fiddler
380,idea guy
381,philanthropist
382,writer
383,graphic designer
384,mit grad student
385,psychologist
386,futurist
387,maestro
388,ensemble
389,oceanographer
390,astronomer
391,visual storyteller
392,oceanographer
393,ichthyologist
394,photographer
394,explorer
395,twitter co-founder
396,designer
396,theorist
397,conservationist
398,tree researcher
399,tv host
400,pianist
401,cognitive scientist
401,design critic
402,researcher
403,athlete
403,actor
404,play researcher
404,psychiatrist
405,inventor
406,philosopher
406,cognitive scientist
407,behavioral economist
408,maker
408,critical thinker
409,humorist
410,business owner
410,activist
411,inventor
412,investor
412,advocate for moral leadership
413,technology columnist
414,coach
415,virus hunter
416,poet
417,newspaper designer
418,aerialist
419,designer
420,military analyst
421,filmmaker
422,political scientist
423,molecular biologist
424,philosopher-comic
425,skeptimist
426,green auto pioneer
427,author
427,thinker
428,composer
429,investor
429,human guinea pig
429,author
430,marketer
430,rock climber
431,figurer
432,designer
433,technologist
434,statistician
435,cartoonist
436,economist
437,neuroscientist
438,polymorphic playwright
439,science journalist
440,physicist 
441,physicist
441,military theorist
442,astronaut
442,engineer
442,entrepreneur
442,physician
442,educator
443,sculptor
444,climate advocate
445,food
445,agriculture expert
446,marketer
446,author
447,pianist
448,global health expert
448,data visionary
449,technologist
449,visionary
450,a capella ensemble
451,sustainable-business pioneer
452,behavioral economist
453,writer
454,planetary scientist
455,designer
456,speaker
456,author
457,entrepreneur
458,first lady of the united states
459,educator
460,guitarist
461,college president
462,inventor
462,futurist
463,photographer
464,publisher
464,philanthropist
464,poet
465,media exec
466,inventor
467,engineer
467,executive
468,evolutionary psychologist
469,biologist
470,marketer
470,success analyst
471,biospherian
472,social media theorist
473,deprogrammer
474,roboticist
475,organist
476,psychologist
477,economist
478,new philanthropist
479,endurance runner
480,mathemagician
481,tinkerer
482,architect
483,artist
484,designer
485,development economist
486,biochemist
487,environmentalist
487,futurist
488,sculptor of light
488,space
489,physician scientist
490,neurobiologist
491,anthropologist
492,british prime minister
493,philosopher
494,experimental audio-visual artist
495,aquatic ape theorist
496,micro-sculptor
497,inventor
498,chief economist
498,senior vice president
498,world bank
499,science writer
499,innovation consultant
499,conservationist
500,hip-hop artist
501,career analyst
502,wireless electrician
503,global health expert
503,data visionary
504,artist
505,biodiversity archivist
506,optical innovator
507,social commentator
508,creative technologist
509,stuntman
510,photographer
511,coldwater swimmer
512,cognitive neuroscientist
513,musician
514,underworld investigator
515,architect
516,producer
517,neurological anthropologist
518,musician
519,net watchdog
520,internet scientist
521,inventor
522,photographer
523,investor
523,advocate for moral leadership
524,global strategist
525,designer
526,religious scholar
527,astrophysicist
528,graphic designer
529,food urbanist
530,professor of management
531,novelist
532,neuroscientist
532,artist
533,writer
534,landscape ecologist
535,robotics designer
536,advertising guru
537,neuroscientist
538,sound consultant
539,marketing whiz
540,computer graphics pioneer
541,conductor
541,leadership expert
542,inventor
543,economist
543,development visionary
544,quantum physicist
545,applied scientist
545,innovator
546,writer
547,mathematician
548,brass virtuoso
549,tech anthropologist
550,"co-founder, architecture for humanity"
551,atmospheric chemist
552,photographer
553,cultural diplomacy expert
554,"director of research, samsung research america"
555,designer
556,social entrepreneur
557,mythologist
558,designer
559,global health expert
559,data visionary
560,resilience leader
561,dune architect
562,dancer
562,actor
562,activist
563,politician
563,writer
564,british prime minister
565,astronomer
566,environmental activist
567,puzzlemaster
